store,score,common_months
159,0.6185165164051881,12
201,0.6164026185359717,12
13,0.5054110594672222,12
178,0.4954269405816458,12
191,0.4709257805120144,12
188,0.4631339371429985,12
253,0.4142516531900747,12
229,0.41122397194133326,12
212,0.388210013284555,12
145,0.37721087873665726,12
257,0.3696424839065873,12
187,0.3591237740628408,12
171,0.3479525795284044,12
113,0.3456662357991532,12
35,0.33565872832934757,12
259,0.3316777275118001,12
12,0.32776697372553715,12
86,0.3211291766366645,12
157,0.31788094767410663,12
27,0.31544743366737055,12
228,0.31150279133396025,12
106,0.3065051785176404,12
41,0.3026217634446778,12
160,0.2897755791615951,12
162,0.28639216380800586,12
56,0.28393748965249993,12
123,0.28273546505565084,12
204,0.2779040133254699,12
95,0.27272545662671305,12
222,0.2651725289120032,12
132,0.26277649785078694,12
66,0.2610762664004242,12
99,0.2571969366626569,12
77,0.25229017519907365,12
205,0.25204017888242175,12
91,0.2502446776062682,12
142,0.23952391777003101,12
39,0.2339616893293541,12
173,0.2329338305397229,12
213,0.23247757963269,12
174,0.2290496408777899,12
58,0.22842711642994326,12
17,0.216909161001874,12
245,0.21235447666123405,12
243,0.20092673444444634,12
26,0.20004599907083329,12
225,0.19930711917008245,12
198,0.19706053879512186,12
139,0.19300638468221898,12
7,0.1928389841348546,12
260,0.18814948164391376,12
152,0.18792836742461627,12
140,0.18512013649584294,12
24,0.18448237592792885,12
32,0.18272656920933225,12
61,0.180894175593826,12
251,0.17821178467530338,12
94,0.17595020765576655,12
167,0.17051946431236334,12
111,0.16991469088414435,12
179,0.1649298656697024,12
268,0.1645557648706903,12
272,0.16451010767351795,12
64,0.1583388147165244,12
68,0.15801706086438225,12
89,0.15666179919416193,12
98,0.15414922007730522,12
127,0.14342116493094817,12
265,0.14314018144862742,12
97,0.14279627530933706,12
224,0.14263139038828523,12
163,0.1401583723429147,12
119,0.13860888915431233,12
134,0.13747167865825619,12
146,0.13415142426674603,12
83,0.13414157397849255,12
60,0.13364958355974355,12
148,0.13355454850586904,12
37,0.12870291592635189,12
234,0.12442584099081792,12
149,0.123694650083553,12
109,0.12092989280425996,12
242,0.12038869339846518,12
2,0.11968445210120802,12
124,0.11754048301792684,12
129,0.11646269370701179,12
190,0.1162893740719773,12
240,0.10893146916565905,12
261,0.10807913743793189,12
126,0.10800091856368182,12
161,0.10425204352933608,12
169,0.1000534909060105,12
147,0.09669491184139038,12
52,0.09556947533690353,12
105,0.09532770497066682,12
63,0.0946296069472412,12
184,0.09082113730254865,12
185,0.08791444743965333,12
96,0.08580251234633997,12
110,0.08151897615649796,12
128,0.08099077883271504,12
103,0.07988840207798997,12
