store,distance,common_months,score
155,582.7030000000001,12,1.0
229,649.6289999999998,12,0.9939237653443628
109,688.5030000000003,12,0.9903943814576335
227,846.243,12,0.9760731123756592
62,873.1369999999997,12,0.9736313968267141
97,893.138,12,0.9718154991285489
207,908.7729999999999,12,0.9703959920783608
157,910.4390000000002,12,0.9702447353629394
247,916.5030000000003,12,0.9696941827084884
13,916.5640000000002,12,0.9696886444974195
160,934.2669999999998,12,0.968081383012963
116,942.017,12,0.9673777578361828
225,944.3440000000002,12,0.967166488702458
39,954.912,12,0.966207016332366
184,968.7559999999999,12,0.9649501147907732
114,969.5619999999999,12,0.964876937772388
10,1006.8010000000002,12,0.9614959961003731
57,1009.4749999999998,12,0.9612532227167976
106,1022.64,12,0.9600579678197253
147,1024.2930000000001,12,0.959907891378794
178,1032.6899999999998,12,0.9591455248485459
30,1067.497,12,0.9559853852965218
101,1073.8120000000001,12,0.9554120442653776
91,1074.522,12,0.95534758312015
222,1085.822,12,0.9543216522172319
269,1090.183,12,0.9539257155209818
112,1090.7039999999997,12,0.9538784137510331
232,1097.9129999999998,12,0.9532239061511095
104,1098.3160000000003,12,0.9531873176419169
191,1102.97,12,0.9527647793744672
122,1106.049,12,0.9524852359010084
113,1111.003,12,0.9520354605299415
236,1119.5079999999996,12,0.9512632886423912
67,1119.5610000000001,12,0.9512584767540854
223,1127.3239999999996,12,0.9505536713028152
219,1130.601,12,0.9502561513409689
196,1138.528,12,0.9495364562730545
94,1144.7510000000002,12,0.9489714679536864
190,1165.7600000000004,12,0.9470640535873671
259,1190.977,12,0.9447745934476426
138,1196.366,12,0.9442853242763306
180,1211.5660000000003,12,0.9429053110263875
102,1215.1650000000002,12,0.9425785565733255
183,1223.454,12,0.9418259954003796
48,1234.8180000000002,12,0.9407942539153563
69,1246.916,12,0.9396958723168162
221,1248.794,12,0.9395253680481719
71,1254.1779999999999,12,0.9390365528285869
172,1257.1,12,0.9387712634393544
119,1272.756,12,0.937349849791913
83,1275.9000000000003,12,0.9370644049460037
33,1277.094,12,0.936956001273607
164,1277.8389999999997,12,0.9368883624662907
105,1284.1189999999997,12,0.9363181990972353
32,1308.119,12,0.9341392308078516
55,1311.9969999999998,12,0.9337871458484254
270,1336.774,12,0.9315376334606729
168,1337.4780000000003,12,0.9314737170575176
129,1359.4249999999997,12,0.9294811413472216
271,1363.3570000000002,12,0.9291241537091443
241,1380.2980000000002,12,0.9275860744678756
118,1390.8039999999996,12,0.9266322310991979
137,1391.8230000000003,12,0.9265397157372444
23,1426.4740000000002,12,0.9233937394791013
78,1432.2749999999999,12,0.9228670646854882
28,1452.2079999999999,12,0.9210573407308097
133,1461.563,12,0.9202079970496769
80,1477.578,12,0.9187539896682403
100,1481.0279999999996,12,0.9184407629766415
257,1499.3689999999995,12,0.9167755772518253
5,1504.694,12,0.9162921186626183
110,1504.947,12,0.9162691487052343
179,1510.6100000000004,12,0.9157550029792851
128,1531.5159999999998,12,0.9138569400185412
79,1563.8769999999997,12,0.9109188736513435
152,1583.919,12,0.9090992535490173
209,1586.234,12,0.9088890738994372
162,1589.7480000000003,12,0.9085700366257332
156,1599.7699999999998,12,0.9076601357842248
24,1633.72,12,0.9045778035582007
70,1667.284,12,0.9015305164054976
15,1696.7230000000002,12,0.8988577394275323
166,1719.208,12,0.896816318511416
36,1755.025,12,0.8935644807105471
45,1779.9910000000002,12,0.8912978089475156
107,1794.6670000000004,12,0.8899653698385575
262,1798.1419999999998,12,0.8896498733883238
230,1864.3429999999998,12,0.8836394617330952
208,1871.337,12,0.8830044740574305
7,1950.5130000000001,12,0.8758160576707538
212,1955.1030000000003,12,0.875399329985409
213,1971.2060000000006,12,0.873937333053578
63,1979.132,12,0.873217728776009
43,2013.4390000000003,12,0.8701029843966804
175,2051.277,12,0.8666676593077762
148,2098.765,12,0.8623562073858491
144,2127.129,12,0.8597810300291792
19,2213.9920000000006,12,0.8518947082574817
3,2267.9930000000004,12,0.8469919388160231
154,2278.649,12,0.8460244768955367
93,2357.334,12,0.8388806385684469
60,2395.338,12,0.8354302422822077
231,2446.856,12,0.8307529052683549
59,2460.1279999999997,12,0.8295479358043258
250,2468.7000000000003,12,0.8287696809636342
56,2481.0240000000003,12,0.8276507807470357
65,2489.5600000000004,12,0.8268757943587781
216,2493.761,12,0.8264943841177906
